city,state,condo_coop
Cape Elizabeth, ME,95.0%
Cape Girardeau, MO,
Cape May Court House, NJ,97.7%
Cape May Point, NJ,97.5%
Cape May, NJ,93.2%
Cape Neddick, ME,96.6%
Cape St. Claire, MD,105.0%
Capitol Heights, MD,106.5%
Capron, IL,
Captain Cook, HI,
Captiva, FL,
Carbondale, CO,98.0%
Carefree, AZ,
Carlisle, IA,
Carlsbad, CA,97.7%
Carlsbad, NM,
Carmel Hamlet, NY,98.6%
Carmel, CA,100.8%
Carmel, IN,98.6%
Carmel, NY,102.5%
Carmichael, CA,102.4%
Carnelian Bay, CA,
Carney, MD,100.0%
Carnot-Moon, PA,99.1%
Carol Stream, IL,102.0%
Carolina Beach, NC,95.4%
Carolina Forest, SC,96.7%
Carolina Shores, NC,
Carpentersville, IL,100.8%
Carpinteria, CA,101.0%
Carrboro, NC,99.8%
Carrollton, GA,
Carrollton, OH,
Carrollton, TX,95.0%
Carrollton, VA,101.3%
Carrollwood, FL,95.3%
Carson City, NV,100.3%
Carson, CA,100.8%
Carter Lake, IA,
Cartersville, GA,
Carthage, MO,
Carthage, NC,
Carthage, NY,
Carver, MA,102.2%
Cary, IL,
Cary, NC,97.8%
Caryville, TN,
Casa de Oro-Mount Helix, CA,
Casas Adobes, AZ,94.3%
Cascades, VA,99.2%
Casco, ME,
Cashmere, WA,
Casselberry, FL,96.3%
Castaic, CA,101.0%
Castle Pines North, CO,
Castle Pines Village, CO,
Castle Pines, CO,
Castle Rock, CO,96.8%
Castle Shannon, PA,
Castlewood, CO,100.4%
Castro Valley, CA,98.7%
Caswell Beach, NC,97.8%
Catalina Foothills, AZ,97.1%
Catasauqua, PA,
Cathedral City, CA,98.1%
Catonsville, MD,101.2%
Cavalero, WA,
Cave Creek, AZ,
Cave Spring, VA,99.4%
Cayucos, CA,
Cecil, WI,
Cedar City, UT,
Cedar Falls, IA,100.6%
Cedar Flat, CA,
Cedar Glen Lakes, NJ,
Cedar Glen West, NJ,
Cedar Grove, WI,91.4%
Cedar Hill, TX,91.2%
Cedar Key, FL,
Cedar Knolls, NJ,
Cedar Lake, IN,100.0%
Cedar Mill, OR,87.5%
Cedar Park, TX,96.2%
Cedar Point, NC,99.1%
Cedar Rapids, IA,101.2%
Cedar Springs, MI,
Cedarburg, WI,96.7%
Cedarhurst, NY,98.0%
Cedarville, OH,
Celebration, FL,97.2%
Celina, OH,
Centennial, CO,99.6%
Center Line, MI,85.7%
Center Moriches, NY,99.5%
Centereach, NY,
Centerport, NY,96.0%
Centerville, IN,100.4%
Centerville, OH,98.4%
Centerville, UT,96.1%
Central Falls, RI,
Central Islip, NY,105.8%
Central Point, OR,96.4%
Central, LA,
Central, SC,100.0%
Central, TN,
Central, UT,
Centralia, WA,
Centreville, VA,98.2%
Ceres, CA,
Cerritos, CA,100.8%
Chadds Ford, PA,
Chagrin Falls, OH,
Chalfont, PA,
Chalmette, LA,
Chamblee, GA,97.8%
Champaign, IL,103.6%
Champion Heights, OH,93.2%
Chandler, AZ,96.9%
Chanhassen, MN,95.3%
Chantilly, VA,101.6%
Chapel Hill, NC,98.9%
Chapmanville, WV,
Chappaqua, NY,
Chardon, OH,
Charleston, IL,
Charleston, SC,100.3%
Charleston, TN,
Charleston, WV,91.8%
Charlestown, NH,97.3%
Charlestown, RI,103.4%
Charlotte Harbor, FL,94.9%
Charlotte, MI,98.6%
Charlotte, NC,97.6%
Charlottesville, VA,97.1%
Charlton, MA,
Charter Oak, CA,100.9%
Chaska, MN,95.0%
Chatfield, MN,
Chatham, IL,
Chatham, MA,
Chatsworth Lake Manor, CA,100.0%
Chatsworth, GA,100.0%
Chattahoochee Hills, GA,
Chautauqua, NY,103.6%
Cheat Lake, WV,
Cheektowaga, NY,
Chelan, WA,91.1%
Chelmsford, MA,100.1%
Chelsea Cove, NY,100.8%
Chelsea, MA,97.4%
Chelsea, MI,98.7%
Chenango, NY,
Cheney, KS,
Cheney, WA,
Chenoa, IL,
Chepachet, RI,100.2%
Cherokee Village, AR,
Cherry Creek, CO,100.9%
Cherry Hill Mall, NJ,96.8%
Cherry Hill, VA,
Cherry Valley, IL,96.3%
Cherryland, CA,
Chesapeake Beach, MD,
Chesapeake City, MD,
Chesapeake, VA,100.4%
Cheshire Village, CT,100.6%
Chester Heights, PA,
Chester, MA,
Chester, MD,98.2%
Chester, NJ,
Chester, NY,100.0%
Chester, VA,100.0%
Chesterbrook, PA,104.0%
Chesterfield, MO,98.8%
Chesterton, IN,102.4%
Chestnut Ridge, NY,
Cheval, FL,100.0%
Cheviot, OH,93.3%
Chevy Chase, MD,98.0%
Cheyenne, WY,
Chicago Heights, IL,
Chicago Ridge, IL,99.0%
Chicago, IL,98.7%
Chico, CA,100.1%
Chicopee, MA,102.1%
Chili, NY,134.8%
Chillicothe, OH,98.5%
Chillum, MD,93.3%
Chilton, WI,102.0%
Chinchilla, PA,101.2%
Chino Hills, CA,99.1%
Chino, CA,100.1%
Chippewa Falls, WI,95.4%
Chowchilla, CA,
Christiansburg, VA,
Chula Vista, CA,100.3%
Chums Corner, MI,
Chupadero, NM,
Church Hill, TN,
Churchill, MT,
Churchill, PA,
Churchville, NY,
Cicero, IL,100.0%
Cicero, IN,
Cicero, NY,
Cimarron Hills, CO,
Cincinnati, OH,97.7%
Cinco Bayou, FL,
Circleville, OH,
Citrus Heights, CA,100.0%
Citrus Hills, FL,91.9%
Citrus, CA,
Clackamas, OR,
Clairton, PA,96.4%
Clarcona, FL,
Claremont, CA,100.4%
Claremont, NH,
Clarence Center, NY,115.0%
Clarence, NY,110.8%
Clarendon Hills, IL,91.7%
Clarkesville, GA,
Clarksburg, MA,94.3%
Clarksburg, MD,98.5%
Clarksburg, WV,
Clarkston, GA,92.4%
Clarkstown, NY,101.5%
Clarksville, IN,
Clarksville, TN,99.8%
Claryville, KY,
Clawson, MI,
Clay, NY,116.7%
Claymont, DE,
Clayton, CA,
Clayton, IL,96.0%
Clayton, MO,101.9%
Clayton, NC,
Clayton, NJ,
Clayton, NY,
Clayton, OH,
Cle Elum, WA,
Clear Lake Shores, TX,90.3%
Clear Lake, IA,
Clearbrook Park, NJ,
Clearbrook, NJ,
Clearfield, UT,99.0%
Clearwater, FL,94.1%
Clementon, NJ,
Clemmons, NC,96.7%
Clemson University, SC,
Clemson, SC,103.8%
Clermont, FL,
Cleveland Heights, OH,93.8%
Cleveland, MS,
Cleveland, OH,97.9%
Cleveland, TN,
Cleves, OH,
Clewiston, FL,100.5%
Cliffside Park, NJ,100.8%
Cliffwood Beach, NJ,
Clifton Heights, PA,
Clifton Park, NY,
Clifton, CO,100.0%
Clifton, NJ,103.0%
Clifton, VA,100.0%
Clinton, CT,
Clinton, IA,
Clinton, MA,97.3%
Clinton, MS,
Clinton, NY,
Clinton, OK,110.0%
Clinton, WA,
Clio, MI,
Clive, IA,98.7%
Cloverdale, CA,100.5%
Cloverdale, VA,
Clovis, CA,97.3%
Clovis, NM,
Clyde, OH,
Clymer, PA,94.3%
Coal Valley, IL,
Cochituate, MA,
Cockeysville, MD,98.9%
Cocoa Beach, FL,94.7%
Cocoa, FL,95.4%
Coconut Creek, FL,97.6%
Coeur d'Alene, ID,97.7%
Cohasset, MA,100.8%
Cohoes, NY,
Colchester, CT,100.0%
Cold Spring, KY,97.6%
Cold Spring, NY,
Coldwater, MI,88.0%
Colerain Township, OH,97.9%
Colfax, CA,103.3%
Colfax, WA,
College Park, MD,97.4%
College Place, WA,
College Station, TX,94.2%
College, AK,
Colleyville, TX,96.4%
Collierville, TN,100.0%
Collingswood, NJ,
Collinsville, CT,
Collinsville, IL,
Colma, CA,
Colonial Heights, VA,100.0%
Colorado,,97.6%
Colorado Springs, CO,
Colton, CA,99.7%
Columbia,,99.1%
Columbia City, IN,97.9%
Columbia Falls, MT,
Columbia Heights, MN,92.2%
Columbia Township, OH,
Columbia, IL,
Columbia, MD,100.4%
Columbia, MO,
Columbia, TN,97.3%
Columbiana, OH,
Columbine, CO,97.6%
Columbus, IN,97.8%
Columbus, OH,99.7%
