city,state,singel_family
Loomis, MI,
Loon Lake, WA,
Loop, PA,99.5%
Lopatcong Overlook, NJ,102.1%
Lopezville, TX,
Lorain, OH,99.0%
Lorain, PA,75.2%
Loraine, IL,
Lorane, PA,101.0%
Lordship, CT,98.4%
Lordstown, OH,97.2%
Lore City, OH,
Loreauville, LA,
Lorena, TX,
Lorenz Park, NY,96.3%
Lorenzo, TX,
Loretto, MN,99.8%
Loretto, PA,83.6%
Loretto, TN,89.3%
Loris, SC,97.9%
Lorraine, NY,
Lorton, VA,98.9%
Los Alamitos, CA,106.8%
Los Alamos, CA,98.3%
Los Alamos, NM,99.4%
Los Altos Hills, CA,126.6%
Los Altos, CA,104.1%
Los Alvarez, TX,
Los Angeles, CA,100.0%
Los Banos, CA,100.6%
Los Berros, CA,
Los Cerrillos, NM,
Los Ebanos, TX,
Los Fresnos, TX,
Los Gatos, CA,100.8%
Los Indios, TX,
Los Molinos, CA,
Los Olivos, CA,
Los Osos, CA,100.4%
Los Ranchos, CA,
Lost Bridge Village, AR,86.3%
Lost City, OK,
Lost Creek, TX,96.2%
Lost Creek, WV,
Lost Hills, CA,
Lost Nation, IA,
Lost Nation, IL,100.7%
Lostant, IL,99.2%
Lothian, MD,
Lott, TX,
Louann, AR,
Loudon, NH,
Loudon, TN,99.1%
Loudonville, NY,102.1%
Loudonville, OH,98.1%
Loudoun Valley Estates, VA,97.9%
Loughman, FL,103.7%
Louisburg, KS,
Louisburg, MO,
Louisburg, NC,98.0%
Louise, TX,
Louisiana,,96.9%
Louisville, AL,
Louisville, CO,98.2%
Louisville, KY,98.5%
Louisville, NE,98.8%
Louisville, NY,100.0%
Louisville, OH,99.3%
Louisville, TN,95.4%
Louviers, CO,
Love Valley, NC,
Lovejoy, GA,97.7%
Lovelaceville, KY,
Loveland Park, OH,
Loveland, CO,99.3%
Loveland, OH,101.2%
Loves Park, IL,100.0%
Lovettsville, VA,99.9%
Loving, NM,
Lovingston, VA,
Lovington, NM,
Low Moor, IA,100.0%
Lowell, AR,99.4%
Lowell, IN,99.6%
Lowell, MA,104.1%
Lowell, MI,100.0%
Lowell, NC,101.3%
Lowell, OH,
Lowell, OR,95.4%
Lowell, WI,101.3%
Lowellville, OH,103.6%
Lower Allen, PA,104.1%
Lower Berkshire Valley, NJ,103.8%
Lower Burrell, PA,98.2%
Lower Grand Lagoon, FL,95.4%
Lower Lake, CA,100.0%
Lower Salem, OH,
Lowes Island, VA,102.1%
Lowes, KY,
Lowesville, NC,98.4%
Lowgap, NC,94.5%
Lowman, ID,100.0%
Lowpoint, IL,
Lowry Crossing, TX,98.1%
Loxahatchee Groves, FL,96.6%
Loxley, AL,99.3%
Loyalhanna, PA,95.8%
Loyola, CA,99.4%
Lubbock, TX,
Lubeck, WV,101.8%
Lucama, NC,
Lucas Valley-Marinwood, CA,100.8%
Lucas, OH,
Lucas, TX,94.2%
Lucasville, OH,100.8%
Lucerne Mines, PA,
Lucerne Valley, CA,100.6%
Lucerne, CA,94.9%
Luckey, OH,100.0%
Ludington, MI,100.5%
Ludlow Falls, OH,
Ludlow, IL,
Ludlow, KY,101.1%
Ludlow, MA,100.0%
Ludlow, VT,99.0%
Ludowici, GA,99.6%
Lueders, TX,
Lufkin, TX,94.4%
Luke, MD,
Lula, GA,99.3%
Luling, LA,97.5%
Luling, TX,96.3%
Lumber Bridge, NC,
Lumber City, PA,
Lumberport, WV,79.0%
Lumberton, NC,98.8%
Lumberton, TX,98.6%
Lummi Island, WA,99.3%
Luna Pier, MI,96.5%
Lunenburg, MA,100.2%
Lusby, MD,91.8%
Lutcher, LA,
Luther, IA,
Luther, OK,88.4%
Luthersville, GA,100.0%
Lutherville, MD,101.8%
Luttrell, TN,
Lutz, FL,97.7%
Luxemburg, IA,
Luxemburg, WI,
Luxora, AR,
Luzerne, IA,
Luzerne, PA,106.4%
Lyden, NM,
Lydia, LA,
Lydia, SC,
Lyerly, GA,80.0%
Lyford, TX,
Lykens, PA,100.0%
Lyle, MN,
Lyman, MS,100.2%
Lyman, NE,
Lyman, SC,97.9%
Lyman, WA,
Lyman, WY,
Lyme, NY,
Lynbrook, NY,103.3%
Lynchburg, TN,94.4%
Lynchburg, MS,99.9%
Lynchburg, VA,98.6%
Lyncourt, NY,106.2%
Lynd, MN,100.0%
Lynden, WA,99.7%
Lyndhurst, OH,99.9%
Lyndhurst, VA,98.5%
Lyndon, IL,
Lyndon, KS,
Lyndon, KY,99.5%
Lyndon, NY,106.7%
Lyndonville, NY,88.8%
Lynn Center, IL,
Lynn Haven, FL,97.4%
Lynn, MA,102.9%
Lynnfield, MA,99.2%
Lynnview, KY,100.7%
Lynnville, IA,
Lynnville, IL,
Lynnville, IN,
Lynnwood-Pricedale, PA,94.9%
Lynnwood, WA,100.6%
Lynwood, CA,103.1%
Lynwood, IL,98.0%
Lyon Mountain, NY,
Lyon, MS,
Lyons, CO,86.4%
Lyons, GA,
Lyons, IL,
Lyons, MI,84.6%
Lyons, NJ,100.6%
Lyons, NY,119.7%
Lyons, OH,
Lyons, OR,99.9%
Lyons, PA,
Lyons, SD,101.0%
Lyons, TX,
Lyons, WI,101.1%
Lysander, NY,102.8%
Lytle Creek, CA,
Lytle, TX,98.5%
Maalaea, HI,
Mabank, TX,95.5%
Mabel, MN,
Mableton, GA,98.5%
Mabscott, WV,
Mabton, WA,
MacArthur, WV,
Macclenny, FL,99.2%
Macclesfield, NC,
MacDonnell Heights, NY,96.8%
Macedon, NY,136.3%
Macedonia, IA,
Macedonia, OH,100.4%
Maceo, KY,100.0%
Machesney Park, IL,99.9%
Machias, NY,
Machias, WA,101.0%
Mack, OH,100.6%
Mackenzie, MO,
Mackinaw, IL,95.5%
Macksburg, IA,
Macksburg, OH,
Macomb, IL,92.9%
Macomb, NY,
Macomb, OK,
Macon, GA,90.8%
Macon, IL,120.2%
Macopin, NJ,
Macungie, PA,100.5%
Macy, IN,
Madeira Beach, FL,96.0%
Madeira, OH,113.6%
Madera Acres, CA,97.1%
Madera Ranchos, CA,99.8%
Madera, CA,97.8%
Madison Center, CT,95.0%
Madison Heights, MI,100.5%
Madison Heights, VA,101.7%
Madison Park, NJ,102.2%
Madison Place, OH,100.9%
Madison, AL,98.6%
Madison, AR,
Madison, CA,
Madison, GA,95.3%
Madison, IL,
Madison, IN,94.7%
Madison, MD,
Madison, MS,96.8%
Madison, NC,100.0%
Madison, NE,95.3%
Madison, NJ,105.0%
Madison, NY,
Madison, OH,100.6%
Madison, PA,
Madison, VA,
Madison, WI,100.5%
Madison, WV,88.1%
Madisonburg, PA,
Madisonville, KY,97.6%
Madisonville, LA,100.0%
Madrid, AL,
Madrid, IA,99.3%
Madrid, NM,
Madrid, NY,
Maeser, UT,96.9%
Maeystown, IL,
Magalia, CA,101.5%
Magee, MS,102.4%
Maggie Valley, NC,96.0%
Magna, UT,101.3%
Magness, AR,
Magnet Cove, AR,98.9%
Magnetic Springs, OH,
Magnolia Beach, TX,
Magnolia Springs, AL,
Magnolia, AR,86.5%
Magnolia, DE,99.1%
Magnolia, IL,
Magnolia, KY,
Magnolia, MS,
Magnolia, NJ,100.3%
Magnolia, OH,104.6%
Magnolia, TX,97.0%
Mahaffey, PA,
Mahanoy City, PA,
Maharishi Vedic City, IA,
Mahinahina, HI,
Mahomet, IL,100.0%
Mahopac, NY,101.6%
Mahtomedi, MN,102.5%
Maiden Rock, WI,
Maiden, NC,98.2%
Maili, HI,95.3%
Maine,,98.5%
Maine, NY,93.2%
Maine, WI,96.1%
Maineville, OH,98.5%
Maitland, FL,95.9%
Maitland, PA,
Maize, KS,100.2%
Makaha Valley, HI,
Makaha, HI,97.4%
Makakilo, HI,99.8%
Makanda, IL,96.9%
Makawao, HI,95.1%
Makena, HI,
Makoti, ND,
Malabar, FL,93.2%
Malaga, CA,
Malaga, NJ,
Malakoff, TX,
Malcolm, NE,
Malden-on-Hudson, NY,
Malden, IL,
Malden, MA,101.1%
Malden, MO,81.4%
Malden, WA,
Malden, WV,
Malibu, CA,88.1%
Malin, OR,
Mallard Bay, OK,
Mallory, WV,
Malmo, NE,
Malone, NY,95.0%
Malone, WA,
Malta, IL,
Malta, NY,100.9%
Maltby, WA,98.6%
Malvern, AL,99.7%
Malvern, AR,98.1%
Malvern, IA,101.5%
Malvern, OH,96.4%
Malvern, PA,98.6%
Malverne Park Oaks, NY,
Malverne, NY,98.8%
Mamanasco Lake, CT,95.5%
Mamaroneck, NY,103.4%
Mamers, NC,95.2%
Mammoth, AZ,76.9%
Mammoth, PA,
Man, WV,
Manahawkin, NJ,96.4%
Manalapan, FL,
Manasota Key, FL,
Manasquan, NJ,98.1%
Manassas Park, VA,99.8%
Manassas, VA,99.3%
Manatee Road, FL,98.2%
Manchaca, TX,76.2%
Manchester Center, VT,92.4%
Manchester, CT,104.1%
Manchester, GA,99.0%
Manchester, IL,99.7%
Manchester, KY,
Manchester, MA,99.2%
Manchester, MD,102.2%
Manchester, MI,97.5%
Manchester, MN,
Manchester, MO,102.4%
Manchester, NH,103.2%
Manchester, NY,
Manchester, PA,83.7%
Manchester, TN,99.3%
Manchester, VA,98.3%
Manchester, VT,103.8%
Manchester, WA,101.6%
Mandan, ND,96.5%
Mandeville, LA,97.1%
Mango, FL,91.0%
Mangonia Park, FL,
Manhasset Hills, NY,97.1%
Manhasset, NY,98.6%
Manhattan Beach, CA,97.4%
Manhattan, IL,97.6%
Manhattan, KS,
Manhattan, MT,
Manhattan, NY,99.2%
Manheim, NY,
Manheim, PA,99.0%
Manila, AR,100.1%
Manila, CA,103.0%
Manistee Lake, MI,101.6%
Manitou Beach-Devils Lake, MI,92.5%
Manitou Springs, CO,
Manitou, KY,
Manitowoc, WI,103.8%
Manley, NE,
Manlius, IL,
Manlius, NY,102.2%
Manly, IA,100.0%
Mannford, OK,96.1%
Manning, IA,
Manning, SC,101.3%
Mannington, WV,
Manns Harbor, NC,
Mannsville, NY,99.8%
Manor Creek, KY,
Manor, GA,
Manor, PA,98.2%
Manor, TX,98.6%
Manorhaven, NY,88.4%
Manorville, NY,102.5%
Mansfield Center, CT,90.0%
Mansfield Center, MA,100.5%
Mansfield, GA,90.9%
Mansfield, IL,
Mansfield, LA,94.3%
Mansfield, MA,102.6%
Mansfield, NY,96.8%
Mansfield, OH,97.4%
Mansfield, SD,
Mansfield, TX,97.8%
Mansfield, WA,
Manson, WA,98.9%
Mantachie, MS,
Manteca, CA,99.5%
Manteno, IL,98.6%
Manteo, NC,95.3%
Mantoloking, NJ,87.5%
Manton, CA,
Manton, MI,
Mantorville, MN,95.0%
Mantua, OH,85.8%
Mantua, UT,98.0%
Mantua, VA,97.8%
Manvel, TX,95.9%
Manville, NJ,109.6%
Maple Bluff, WI,100.2%
Maple City, MI,100.0%
Maple Falls, WA,101.2%
Maple Glen, PA,99.8%
Maple Grove, MI,
Maple Grove, MN,100.7%
Maple Heights-Lake Desire, WA,99.6%
Maple Heights, OH,99.6%
Maple Hill, KS,
Maple Lake, MN,100.8%
Maple Park, IL,97.4%
Maple Plain, MN,101.3%
Maple Rapids, MI,
Maple Ridge, OH,100.0%
Maple Valley, WA,100.0%
Maplesville, AL,
Mapleton, IL,96.0%
Mapleton, OR,
Mapleton, UT,99.1%
Mapleview, MN,
Mapleville, MD,93.9%
Maplewood Park, OH,
Maplewood, MN,100.0%
Maplewood, MO,98.0%
Maplewood, WA,98.9%
Maquon, IL,
Mar-Mac, NC,95.1%
Marana, AZ,98.8%
Marathon City, WI,100.2%
Marathon, FL,95.9%
Marathon, IA,
Marathon, NY,76.7%
Marathon, OH,
Marble Cliff, OH,
Marble Hill, MO,
Marble, MN,103.6%
Marblehead, MA,102.5%
Marblehead, OH,81.5%
Marblemount, WA,
Marbletown, NY,
Marbury, AL,
Marcellus, MI,97.0%
Marcellus, NY,101.5%
Marco Island, FL,92.6%
Marcola, OR,
Marcus Hook, PA,100.0%
Marcus, WA,
Marengo, IL,99.2%
Marengo, OH,103.0%
Margaret, AL,99.0%
Margate City, NJ,91.3%
Margate, FL,98.0%
Maria Stein, OH,
Marianna, PA,
Mariaville Lake, NY,
Maribel, WI,
Maricopa, AZ,99.2%
Maricopa, CA,84.7%
Marie, AR,98.0%
Mariemont, OH,111.4%
Marietta-Alderwood, WA,96.2%
Marietta, GA,94.8%
Marietta, MS,
Marietta, NC,
Marietta, OH,96.0%
Marietta, OK,92.4%
Marietta, PA,98.0%
Marilla, NY,106.0%
Marin City, CA,
Marina, CA,100.5%
Marine City, MI,84.7%
Marine on St. Croix, MN,90.8%
Marine View, WA,
Marine, IL,100.5%
Marinette, WI,102.0%
Maringouin, LA,
Marion Center, MA,90.5%
Marion Center, PA,
Marion Heights, PA,
Marion Oaks, FL,99.5%
Marion, AR,98.8%
Marion, IA,98.3%
Marion, IL,97.3%
Marion, IN,94.7%
Marion, LA,
Marion, MA,95.9%
Marion, MN,
Marion, MS,
Marion, MT,
Marion, NC,97.4%
Marion, NY,131.2%
Marion, OH,98.2%
Marion, OR,
Marion, PA,
Marion, SD,92.6%
Marion, TX,84.3%
Marion, UT,
Marissa, IL,106.3%
Mark, IL,
Marked Tree, AR,101.1%
Markham, IL,95.6%
Markham, TX,
Markham, WA,
Markle, IN,105.0%
Markleville, IN,
Markleysburg, PA,
Marksboro, NJ,
Marlboro Meadows, MD,87.4%
Marlboro Village, MD,93.3%
Marlboro, NY,107.1%
Marlboro, OH,
Marlborough, MA,100.5%
Marlborough, MO,110.8%
Marlborough, NH,100.0%
Marlborough, NY,104.8%
Marlene Village, OR,98.1%
Marley, IL,
Marlin, PA,106.2%
Marlin, TX,86.6%
Marlow Heights, MD,97.9%
Marlow, OK,93.3%
Marlton, MD,100.3%
Marlton, NJ,107.8%
Marmaduke, AR,103.6%
Marmet, WV,
Marmora, NJ,98.0%
Marne, OH,93.5%
Maroa, IL,102.4%
Marquette Heights, IL,100.7%
Marquette, KS,
Marquette, MI,102.6%
Marrero, LA,96.2%
Marriott-Slaterville, UT,95.8%
Mars Hill, NC,97.6%
Mars, PA,100.0%
Marseilles, IL,102.0%
Marshall Creek, TX,
Marshall, IN,
Marshall, MI,96.9%
Marshall, MN,100.4%
Marshall, MO,88.5%
Marshall, NC,95.0%
Marshall, NY,94.0%
Marshall, OK,
Marshall, TX,103.8%
Marshall, VA,
Marshall, WI,102.3%
Marshallberg, NC,
Marshallton, PA,104.3%
Marshalltown, IA,98.4%
Marshallville, NJ,
Marshallville, OH,
Marshfield Hills, MA,96.8%
Marshfield, IN,
Marshfield, MA,99.2%
Marshfield, MO,100.0%
Marshfield, VT,
Marshfield, WI,95.8%
Marshville, NC,98.7%
Marsing, ID,
Mart, TX,
Martell, NE,
Martelle, IA,
Martensdale, IA,
Martha Lake, WA,99.2%
Martha, OK,
Marthasville, MO,100.0%
Martin City, MT,
Martin Lake, MN,99.9%
Martin, GA,100.0%
Martin, MI,75.4%
Martin, TN,94.9%
Martin's Additions, MD,
Martindale, TX,96.9%
Martinez Lake, AZ,
Martinez, CA,101.0%
Martinez, GA,99.6%
Martins Creek, PA,98.6%
Martins Ferry, OH,
Martinsburg, MO,93.4%
Martinsburg, NE,
Martinsburg, OH,96.1%
Martinsburg, PA,97.1%
Martinsburg, WV,99.2%
Martinsville, IN,95.1%
Martinsville, NJ,105.0%
Martinsville, OH,
Martinsville, VA,93.9%
Marumsco, VA,101.1%
Marvel, CO,
Marvell, AR,
Marvin, NC,98.3%
Mary Esther, FL,98.5%
Maryhill Estates, KY,
Maryland,,100.1%
Maryland City, MD,101.9%
Maryland Heights, MO,101.1%
Maryland Park, MD,97.0%
Maryland, NY,100.4%
Marysville, CA,99.5%
Marysville, MI,101.0%
Marysville, MT,
Marysville, OH,99.3%
Marysville, PA,92.3%
Marysville, WA,100.2%
Maryville, IL,101.0%
Maryville, MO,95.6%
Maryville, TN,96.6%
Masaryktown, FL,96.9%
Mascot, TN,102.3%
Mascotte, FL,100.7%
Mascoutah, IL,100.9%
Mashpee Neck, MA,95.2%
Mashpee, MA,98.1%
Mason City, IA,97.7%
Mason Neck, VA,102.4%
Mason, IL,
Mason, MI,99.7%
Mason, OH,101.6%
Mason, TN,85.8%
Mason, WV,
Masontown, PA,103.0%
Masontown, WV,103.6%
Masonville, KY,100.0%
Massac, KY,98.5%
Massachusetts,,101.3%
Massanetta Springs, VA,98.2%
Massanutten, VA,100.5%
Massapequa Park, NY,103.8%
Massapequa, NY,103.1%
Massena, NY,97.2%
Massieville, OH,
Massillon, OH,98.8%
Masthope, PA,95.6%
Mastic Beach, NY,100.8%
Mastic, NY,104.6%
Masury, OH,
Matagorda, TX,77.9%
Matamoras, OH,100.0%
Matamoras, PA,86.6%
Matawan, NJ,101.3%
Matheny, CA,
Mather, CA,100.7%
Matherville, IL,
Matheson, CO,
Mathews, LA,97.8%
Mathews, VA,100.0%
Matinecock, NY,
Matlacha Isles-Matlacha Shores, FL,
Matlacha, FL,
Matoaca, VA,101.2%
Mattapoisett Center, MA,95.6%
Mattapoisett, MA,103.0%
Mattawamkeag, ME,80.1%
Mattawana, PA,
Matteson, IL,96.8%
Matthews, IN,
Matthews, NC,100.4%
Mattituck, NY,99.7%
Mattoon, IL,95.4%
Mattoon, WI,
Mattydale, NY,109.2%
Mauckport, IN,
Maud, OK,
Maud, TX,
Maugansville, MD,101.2%
Mauldin, SC,98.7%
Maumee, OH,101.3%
Maumelle, AR,98.5%
Mauna Loa Estates, HI,99.1%
Maunaloa, HI,
Maunawili, HI,
Maupin, OR,
Maurice, LA,100.1%
Mauricetown, NJ,
Mauriceville, TX,
Maury City, TN,
Maxton, NC,
Maxwell, IA,
Maxwell, NE,
May Creek, WA,
May, TX,
Maybee, MI,94.1%
Maybell, CO,
Maybrook, NY,102.0%
Mayer, AZ,97.3%
Mayer, MN,100.0%
Mayesville, SC,
Mayfair, CA,94.0%
Mayfield Heights, OH,97.4%
Mayfield, KS,
Mayfield, KY,96.8%
Mayfield, NY,
Mayfield, OH,107.3%
Mayfield, PA,99.3%
Mayflower Village, CA,102.9%
Mayflower, AR,99.4%
Mayland, TN,
Maynard, MA,110.0%
Maynardville, TN,98.9%
Mayo, MD,97.1%
Mayo, SC,97.0%
Mayodan, NC,96.7%
Maypearl, TX,
Mays Chapel, MD,105.7%
Mays Landing, NJ,98.8%
Maysville, GA,89.0%
Maysville, IA,100.0%
Maysville, KY,112.6%
Maysville, MO,101.3%
Maysville, NC,110.3%
Maysville, OK,
Maytown, AL,78.2%
Maytown, PA,103.7%
Mayview, MO,
Mayville, NY,
Mayville, WI,98.4%
Maywood Park, OR,87.1%
Maywood, CA,100.0%
Maywood, IL,98.9%
Maywood, NJ,89.4%
Mazeppa, MN,103.2%
Mazomanie, WI,
Mazon, IL,100.0%
McAdenville, NC,98.7%
McAdoo, PA,
McAlester, OK,90.3%
McAllen, TX,97.6%
McAlmont, AR,83.9%
McArthur, CA,100.6%
McBain, MI,
McBride, MI,
McCalla, AL,98.7%
McCallsburg, IA,94.3%
McCammon, ID,
McCausland, IA,
McChord AFB, WA,
McCleary, WA,
McClellanville, SC,100.0%
McClenney Tract, CA,
McClure, PA,
McColl, SC,
McComb, MS,99.6%
McComb, OH,
McConnell, WV,
McConnells, SC,
McCook, IL,
McCoole, MD,98.9%
McCord, OK,
McCordsville, IN,98.8%
McCullom Lake, IL,102.8%
McCune, KS,97.3%
McCutchenville, OH,100.0%
McDade, TX,
McDonald Chapel, AL,95.6%
McDonald, OH,89.3%
McDonald, PA,99.1%
McDonald, TN,95.1%
McDonough, GA,98.6%
McElhattan, PA,
McEwensville, PA,
McFarland, CA,99.5%
McFarland, WI,97.9%
McGaffey, NM,
McGaheysville, VA,
McGovern, PA,99.7%
McGraw, NY,
McGregor, FL,96.0%
McGregor, TX,
McGrew, NE,
McHenry, IL,100.0%
McIntosh, AL,
McIntosh, FL,100.0%
McKean, PA,
McKeansburg, PA,
McKee City, NJ,94.0%
McKee, PA,
McKees Rocks, PA,95.7%
McKeesport, PA,92.2%
McKenna, WA,100.0%
McKenney, VA,94.0%
McKinley Heights, OH,99.3%
McKinley, PA,102.3%
McKinleyville, CA,99.4%
McKinney Acres, TX,
McKinney, KY,
McKinney, TX,97.5%
McKittrick, CA,
McKnightstown, PA,100.0%
McLean, IL,101.1%
McLean, NY,
McLean, TX,
McLean, VA,99.5%
McLeansville, NC,
McLendon-Chisholm, TX,96.3%
McLoud, OK,84.1%
McLouth, KS,97.5%
McMechen, WV,61.4%
McMillin, WA,98.8%
McMinnville, OR,100.3%
McMinnville, TN,97.6%
McMurray, PA,
McNabb, IL,
McNary, LA,
McNeal, AZ,
McPherson, KS,101.5%
McQueeney, TX,
McRae, AR,100.0%
McSherrystown, PA,99.5%
McSwain, CA,98.3%
McVeytown, PA,
Mead Ranch, AZ,92.7%
Mead Valley, CA,93.3%
Mead, CO,99.1%
Mead, NE,103.6%
Mead, OK,
Mead, WA,99.3%
Meadow Acres, WY,95.2%
Meadow Glade, WA,96.2%
Meadow Grove, NE,
Meadow Lakes, AK,102.8%
Meadow Oaks, FL,97.2%
Meadow Vale, KY,96.3%
Meadow View Addition, SD,
Meadow View, VA,
Meadow Vista, CA,97.6%
Meadow Woods, FL,98.5%
Meadowbrook, AL,98.2%
Meadowbrook, CA,101.4%
Meadowbrook, VA,100.3%
Meadowdale, WA,98.9%
Meadowlands, PA,100.0%
Meadowood, PA,107.6%
Meadows Place, TX,100.7%
Meadowview Estates, KY,
Meadowview, VA,
Meadview, AZ,87.8%
Meadville, PA,95.8%
Meansville, GA,
Mebane, NC,99.3%
Mecca, CA,
Mechanic Falls, ME,103.1%
Mechanicsburg, IL,128.5%
Mechanicsburg, OH,103.5%
Mechanicsburg, PA,101.5%
Mechanicsburg, VA,
Mechanicstown, NY,103.4%
Mechanicsville, CT,110.0%
Mechanicsville, MD,98.5%
Mechanicsville, PA,
Mechanicsville, VA,100.3%
Mechanicville, NY,103.5%
Meckling, SD,
Mecosta, MI,
Medanales, NM,
Medfield, MA,102.0%
Medford Lakes, NJ,97.3%
Medford, MA,106.6%
Medford, MN,101.3%
Medford, NY,99.4%
Medford, OR,98.9%
Media, PA,100.4%
Mediapolis, IA,97.2%
Medical Lake, WA,97.9%
Medicine Lake, MN,100.0%
Medicine Park, OK,
Medina, MN,97.8%
Medina, ND,
Medina, NY,98.0%
Medina, OH,99.6%
Medina, TN,99.6%
Medina, TX,
Medina, WA,101.7%
Medley, FL,72.9%
Medon, TN,
Medora, IL,
Medora, IN,
Medulla, FL,86.4%
Medway, MA,102.2%
Medway, OH,
Meeker, OK,83.3%
Megargel, TX,
Meggett, SC,92.8%
Mehama, OR,
Mehlville, MO,101.1%
Meigs, GA,
Meiners Oaks, CA,96.0%
Meire Grove, MN,
Melba, ID,100.0%
Melbourne Beach, FL,95.6%
Melbourne Village, FL,96.1%
Melbourne, FL,96.3%
Melbourne, IA,
Melbourne, KY,
Melcher-Dallas, IA,97.9%
Melia, NE,
Melissa, TX,98.0%
Melody Hill, IN,99.4%
Melrose Park, IL,98.3%
Melrose Park, NY,99.1%
Melrose, MA,103.8%
Melrose, MN,103.8%
Melrose, NM,
Melrose, OR,97.3%
Melvern, KS,
Melville, LA,
Melville, NY,102.4%
Melvindale, MI,99.7%
Melwood, MD,103.0%
Memphis, FL,99.2%
Memphis, IN,99.2%
Memphis, MI,102.4%
Memphis, NE,
Memphis, TN,95.9%
Menan, ID,
Menands, NY,99.0%
Menasha, WI,109.5%
Mendenhall, MS,
Mendham, NJ,102.1%
Mendocino, CA,100.0%
Mendon, IL,
Mendon, MA,98.8%
Mendon, MI,100.0%
Mendon, NY,133.7%
Mendon, OH,
Mendon, UT,97.8%
Mendota Heights, MN,98.8%
Mendota, CA,98.1%
Mendota, IL,100.9%
Mendota, MN,
Mendota, VA,
Menifee, CA,100.3%
Menlo Park Terrace, NJ,109.7%
Menlo Park, CA,99.9%
Menlo, GA,
Menlo, IA,
Menominee, MI,96.8%
Menomonee Falls, WI,100.8%
Menomonie, WI,104.3%
Mentone, AL,93.9%
Mentone, CA,100.2%
Mentone, IN,
Mentor-on-the-Lake, OH,102.7%
Mentor, KY,
Mentor, OH,101.2%
Mentz, NY,103.0%
Mequon, WI,99.1%
Mer Rouge, LA,
Meraux, LA,95.1%
Merced, CA,98.6%
Mercedes, TX,100.9%
Mercer Island, WA,101.2%
Mercer, PA,
Mercersburg, PA,
Mercersville, MD,
Mercerville, NJ,108.4%
Merchantville, NJ,
Meredith, NH,99.6%
Meredosia, IL,
Meriden, CT,103.1%
Meriden, KS,
Meridian Hills, IN,98.7%
Meridian Village, CO,99.4%
Meridian, CA,
Meridian, CO,
Meridian, ID,99.3%
Meridian, MS,103.2%
Meridian, NY,
Meridian, OK,
Meridian, PA,96.4%
Meridianville, AL,99.5%
Merino, CO,100.0%
Merion Station, PA,104.2%
Merkel, TX,97.3%
Merlin, OR,
Mermentau, LA,
Merriam Woods, MO,
Merriam, KS,
Merrick, NY,104.5%
Merrifield, MN,92.1%
Merrifield, VA,99.9%
Merrill, MI,98.5%
Merrill, OR,
Merrill, WI,99.6%
Merrillville, IN,98.3%
Merrimac, MA,103.8%
Merrimac, VA,
Merrimac, WI,
Merrionette Park, IL,98.2%
Merritt Island, FL,95.0%
Merritt Park, NY,97.3%
Merrydale, LA,98.4%
Merryville, LA,
Merton, WI,99.9%
Mertzon, TX,
Mertztown, PA,95.8%
Mesa del Caballo, AZ,73.8%
Mesa Verde, CA,
Mesa, AZ,98.3%
Mesa, WA,
Mescal, AZ,98.0%
Meservey, IA,
Meshoppen, PA,
Mesic, NC,
Mesick, MI,100.0%
Mesilla, NM,
Mesquite Creek, AZ,
Mesquite, NM,
Mesquite, NV,99.4%
Mesquite, TX,97.8%
Messiah College, PA,
Meta, MO,
Metairie, LA,95.4%
Metamora, IL,100.8%
Metamora, IN,
Metamora, MI,
Metamora, OH,97.6%
Metcalfe, MS,
Methuen Town, MA,103.0%
Methuen, MA,103.0%
Metropolis, IL,99.0%
Mettawa, IL,
Metuchen, NJ,106.8%
Metzger, OR,98.9%
Mexican Colony, CA,100.0%
Mexico Beach, FL,95.8%
Mexico, IN,107.3%
Mexico, MO,94.5%
Mexico, NY,104.3%
Meyers Lake, OH,
Meyers, CA,95.1%
Meyersdale, PA,97.3%
Mi-Wuk Village, CA,
Miami Beach, FL,92.7%
Miami Gardens, FL,96.3%
Miami Heights, OH,97.9%
Miami Lakes, FL,96.1%
Miami Shores, FL,95.6%
Miami Springs, FL,93.4%
Miami Township, OH,98.8%
Miami, AZ,98.0%
Miami, FL,95.6%
Miami, MO,
Miami, OK,96.7%
Miami, TX,
Miamisburg, OH,99.2%
Miamiville, OH,
Micanopy, FL,92.7%
Micco, FL,90.3%
Miccosukee, FL,
Michiana Shores, IN,
Michiana Shores, MI,
Michiana, MI,
Michigamme, MI,
Michigan,,98.9%
Michigan Center, MI,102.1%
Michigan City, IN,97.9%
Michigantown, IN,
Mickleton, NJ,114.0%
Micro, NC,
Middle Island, NY,102.3%
Middle Point, OH,89.0%
Middle River, MD,99.6%
Middleberg, OK,
Middleborough Center, MA,103.6%
Middleborough, MA,101.8%
Middlebranch, OH,
Middlebrook, VA,
Middleburg Heights, OH,99.8%
Middleburg, FL,90.3%
Middleburg, MD,119.1%
Middleburg, NC,
Middleburg, PA,97.1%
Middleburg, VA,100.0%
Middleburgh, NY,
Middlebury, IN,87.5%
Middlebush, NJ,103.0%
Middlefield, MA,
Middlefield, NY,90.7%
Middlefield, OH,105.3%
Middleport, NY,106.8%
Middleport, PA,
Middlesborough, KY,97.3%
Middlesex, NC,
Middlesex, NJ,107.2%
Middlesex, NY,95.6%
Middleton, ID,99.7%
Middleton, MA,99.5%
Middleton, WI,99.6%
Middletown Springs, VT,
