city,state,townhouse
Casselberry, FL,98.7%
Cassville, WV,99.2%
Castaic, CA,
Castle Hayne, NC,
Castle Pines North, CO,98.3%
Castle Pines Village, CO,100.0%
Castle Pines, CO,98.3%
Castle Rock, CO,99.1%
Castle Shannon, PA,
Castlewood, CO,100.9%
Castro Valley, CA,99.2%
Caswell Beach, NC,
Catalina Foothills, AZ,96.3%
Catasauqua, PA,104.4%
Cathcart, WA,99.0%
Cathedral City, CA,
Catonsville, MD,101.7%
Cavalero, WA,
Cave Creek, AZ,
Cave Spring, VA,100.0%
Cecil-Bishop, PA,
Cedar City, UT,95.1%
Cedar Falls, IA,
Cedar Glen Lakes, NJ,
Cedar Glen West, NJ,
Cedar Grove, FL,
Cedar Heights, MD,
Cedar Hill, TX,
Cedar Hills, UT,
Cedar Lake, IN,98.0%
Cedar Mill, OR,100.0%
Cedar Park, TX,
Cedar Point, NC,
Cedar Rapids, IA,
Celebration, FL,97.2%
Celina, TX,
Cementon, PA,
Centennial, CO,99.9%
Center City, MN,
Center Point, AL,103.9%
Centereach, NY,
Centerport, NY,
Centerton, AR,
Centerville, GA,
Centerville, MN,102.8%
Centerville, OH,
Centerville, SC,
Centerville, UT,99.0%
Central City, CO,99.2%
Central City, PA,
Central Islip, NY,99.2%
Central Point, OR,
Central, LA,
Central, SC,100.2%
Centralia, IL,101.8%
Centralia, WA,
Centreville, MD,
Centreville, VA,101.8%
Cerritos, CA,100.4%
Cetronia, PA,100.0%
Chadds Ford, PA,101.5%
Chadwicks, NY,
Chain Lake, WA,
Chalco, NE,
Chalfont, PA,101.1%
Chambersburg, PA,97.8%
Chamblee, GA,97.5%
Champaign, IL,101.0%
Champlin, MN,99.6%
Chandler, AZ,98.8%
Chanhassen, MN,101.0%
Channahon, IL,96.6%
Channel Islands Beach, CA,
Chantilly, VA,99.9%
Chapel Hill, NC,99.8%
Chapel Hill, TN,100.0%
Charleroi, PA,
Charles Town, WV,98.8%
Charleston, SC,98.8%
Charleston, TN,
Charleston, WV,96.2%
Charlestown, MD,
Charlestown, NH,
Charlotte, NC,99.1%
Charlottesville, VA,99.8%
Charlton, MA,96.7%
Charter Oak, CA,
Chaska, MN,98.0%
Chatfield, MN,
Chatham, IL,100.1%
Chatham, MA,
Chatsworth Lake Manor, CA,
Chatsworth, GA,100.0%
Chattahoochee Hills, GA,
Chautauqua, NY,117.9%
Cheat Lake, WV,97.1%
Cheektowaga, NY,
Chelmsford, MA,101.1%
Chelsea, AL,
Chelsea, MA,97.9%
Cheltenham Village, PA,
Chenango, NY,100.0%
Cherokee Village, AR,93.6%
Cherry Creek, CO,
Cherry Hill Mall, NJ,104.1%
Cherry Hill, VA,100.3%
Cherry Valley, IL,
Cherryland, CA,
Chesapeake Beach, MD,100.0%
Chesapeake City, MD,100.0%
Chesapeake Ranch Estates, MD,
Chesapeake, VA,99.4%
Chester Heights, PA,98.2%
Chester, MA,
Chester, MD,98.7%
Chester, PA,93.8%
Chester, SC,
Chester, VA,98.4%
Chesterbrook, PA,95.5%
Chesterfield, MO,92.7%
Chesterton, IN,
Chestertown, NY,98.8%
Chestnut Hill, PA,100.0%
Chetopa, KS,
Cheval, FL,96.2%
Chevy Chase, MD,100.0%
Cheyenne, WY,
Chicago Heights, IL,91.2%
Chicago Ridge, IL,95.9%
Chicago, IL,98.6%
Chickasaw Point, SC,
Chickasha, OK,
Chico, CA,
Chicopee, MA,102.3%
Chiefland, FL,
Chili, NY,114.1%
Chillicothe, IL,
Chillum, MD,100.0%
Chino Hills, CA,101.5%
Chino, CA,99.1%
Chisago City, MN,98.2%
Christiana, PA,
Christiansburg, VA,99.4%
Chula Vista, CA,100.7%
Church Hill, MD,95.9%
Church Hill, PA,
Churchville, NY,
Cicero, IL,
Cicero, IN,
Cicero, NY,
Cimarron Hills, CO,
Cincinnati, OH,99.9%
Cinco Bayou, FL,
Circle Pines, MN,100.6%
Citrus Heights, CA,99.0%
Citrus Park, FL,97.9%
Citrus, CA,
Clackamas, OR,
Clairton, PA,84.0%
Clanton, AL,
Claremont, CA,104.5%
Claremont, NC,
Claremont, NH,
Clarence Center, NY,
Clarence, NY,
Clarendon Hills, IL,100.0%
Clarkdale, AZ,
Clarkesville, GA,
Clarks Summit, PA,98.2%
Clarksburg, MD,100.0%
Clarksburg, WV,
Clarkston Heights-Vineland, WA,
Clarkston, GA,101.1%
Clarkston, WA,
Clarkstown, NY,
Clarksville, TN,98.8%
Clay, AL,
Clay, NY,106.1%
Clay, PA,
Claymont, DE,100.0%
Clayton, CA,100.0%
Clayton, DE,100.0%
Clayton, IL,98.0%
Clayton, NC,99.5%
Clayton, NJ,104.8%
Clayton, NY,
Clayton, OH,
Cle Elum, WA,
Clear Lake, MN,100.0%
Clear Spring, MD,
Clearbrook Park, NJ,101.8%
Clearbrook, NJ,101.8%
Clearfield, PA,
Clearfield, UT,99.6%
Clearlake Oaks, CA,
Clearwater, FL,96.8%
Clearwater, MN,
Clementon, NJ,102.8%
Clemmons, NC,99.3%
Clemson, SC,97.4%
Cleona, PA,97.3%
Clermont, FL,99.0%
Cleveland Heights, OH,
Cleveland, MS,
Cleveland, OH,97.8%
Cleveland, TN,97.7%
Clewiston, FL,
Cliffside Park, NJ,96.3%
Clifton Heights, PA,95.0%
Clifton Park, NY,98.5%
Clifton, CO,101.4%
Clifton, NJ,
Clifton, VA,
Clinton, IA,
Clinton, MA,100.9%
Clinton, MD,98.7%
Clinton, MS,100.0%
Clinton, OK,
Clinton, UT,100.0%
Clover Creek, WA,101.4%
Clover Hill, MD,
Clover, SC,100.0%
Cloverdale, VA,95.0%
Cloverleaf, TX,
Cloverly, MD,106.7%
Clovis, CA,
Clovis, NM,
Clyde, NC,
Clymer, PA,
Coal City, IL,102.5%
Coal Valley, IL,
Coaldale, PA,
Coatesville, PA,100.3%
Coats, NC,
Cobleskill, NY,
Coburg, OR,
Cochituate, MA,
Cochranville, PA,
Cockeysville, MD,102.8%
Cocoa Beach, FL,
Cocoa West, FL,100.0%
Cocoa, FL,100.0%
Coconut Creek, FL,97.7%
Coeur d'Alene, ID,100.2%
Cohasset, MA,
Cohoes, NY,107.9%
Cokato, MN,
Cold Spring, KY,97.9%
Cold Spring, MN,
Cold Springs, NV,
Colerain Township, OH,99.1%
Coleraine, MN,
Colesville, MD,
Colfax, CA,
College Park, GA,
College Park, MD,99.2%
College Place, WA,97.7%
College Station, TX,95.3%
Collegeville, PA,99.6%
Colleyville, TX,100.0%
Collierville, TN,
Collingdale, PA,100.0%
Collingswood, NJ,102.8%
Colmar Manor, MD,
Cologne, MN,
Colona, IL,97.4%
Colonial Heights, VA,98.6%
Colonial Park, PA,
Colorado,,98.8%
Colorado Springs, CO,
Colton, CA,100.4%
Columbia,,98.3%
Columbia Falls, MT,
Columbia Heights, MN,101.5%
Columbia Township, OH,
Columbia, MD,102.2%
Columbia, PA,99.8%
Columbia, TN,98.1%
Columbine Valley, CO,
Columbine, CO,98.5%
Columbus, IN,
Columbus, MN,
Columbus, NE,99.2%
Columbus, OH,100.0%
Columbus, WI,
Colville, WA,
Colwyn, PA,108.7%
Combee Settlement, FL,100.0%
Commack, NY,91.3%
Commerce City, CO,100.0%
Commerce, CA,
Compton, CA,
Concord, CA,100.2%
Concord, MA,96.8%
Concord, NC,99.2%
Concord, NH,
Concord, NY,
Concord, VA,
Concordia, NJ,
Conley, GA,
Connecticut,,
Connelly Springs, NC,
Connerton, FL,
Connoquenessing, PA,
Conover, NC,98.8%
Conroe, TX,96.5%
Conshohocken, PA,98.7%
Contra Costa Centre, CA,
Conway, AR,
Conway, SC,98.5%
Conyers, GA,99.4%
Conyngham, PA,
Cookeville, TN,100.0%
Coon Rapids, MN,100.4%
Cooper City, FL,98.5%
Coopersburg, PA,101.5%
Coos Bay, OR,94.7%
Coplay, PA,100.0%
Coppell, TX,101.7%
Copper Mountain, CO,
